物品编号,物品重量,物品价值
253,13.01,356.72
255,29.69,229.45
257,29.22,230.12
263,38.22,340.97
265,9.44,191.07
267,12.43,235.76
271,9.29,323.39
272,21.52,411.92
273,58.15,414.61
277,12.34,229.33
278,39.84,318.56
279,45.89,308.76
280,31.98,247.68
283,28.55,287.68
286,8.18,375.00
287,35.37,286.42
293,11.83,121.02
294,24.05,225.90
299,6.38,329.95
300,31.17,370.31
301,41.95,296.28
303,15.90,363.43
304,25.60,282.84
305,24.11,295.83
306,15.46,166.78
307,20.42,315.92
308,15.46,275.89
309,4.74,276.19
313,35.29,288.99
314,2.66,256.75
316,10.33,391.20
317,27.07,325.10
319,19.64,154.17
320,10.76,130.49
322,25.63,344.93
323,25.75,241.92
325,20.79,390.60
326,5.11,360.21
327,31.19,426.64
330,8.73,187.62
331,22.10,259.17
334,27.06,286.55
336,2.96,124.09
338,31.22,273.88
339,35.30,296.87
340,40.19,309.46
341,11.23,334.11
343,34.04,421.85
344,44.01,406.98
352,42.34,286.42
353,10.82,194.49
354,20.71,162.02
356,25.35,176.98
358,8.86,111.84
360,9.21,291.67
362,7.06,223.36
372,18.69,371.34
373,44.64,385.81
375,32.53,376.73
376,38.04,265.39
379,1.43,296.74
380,17.06,308.69
381,11.74,422.86
382,17.08,149.43
385,14.32,333.00
387,15.02,381.87
388,18.62,262.54
390,1.69,390.23
392,25.46,253.64
394,38.07,409.30
397,1.96,222.19
399,29.57,200.08
400,16.30,119.47
401,33.74,387.46
402,34.47,262.71
404,23.49,295.79
405,8.18,250.17
406,23.85,287.96
408,40.83,274.12
409,3.96,129.16
410,1.33,422.96
413,41.05,354.16
414,31.92,320.20
416,52.54,406.52
418,43.33,310.33
420,31.59,353.07
421,9.57,202.70
424,16.69,108.98
426,10.24,364.64
427,7.87,338.24
428,1.90,409.77
429,3.51,171.51
432,12.58,392.64
436,48.18,408.56
440,22.25,287.89
441,2.75,350.11
446,22.51,177.25
449,10.55,363.30
451,17.85,275.99
457,11.20,261.65
459,58.87,397.31
460,39.14,259.33
464,1.81,218.86
465,18.48,198.49
467,30.31,276.19
469,18.60,166.97
470,44.23,402.84
472,24.03,325.27
473,25.51,358.53
476,39.36,423.18
478,13.27,425.21
479,12.51,217.53
480,8.81,176.24
483,11.08,123.51
484,16.66,377.50
488,35.71,393.17
491,6.71,194.76
493,36.34,255.18
494,11.32,172.32
495,19.98,241.93
496,39.00,394.92
497,19.70,276.17
498,5.90,155.42
500,10.04,372.18
502,2.64,419.54
504,16.02,240.97
505,13.05,157.61
507,6.23,157.02
508,6.88,255.06
510,1.54,294.19
511,6.31,235.74
512,23.35,180.90
515,36.10,359.48
519,24.22,334.42
520,10.24,203.79
523,44.93,399.39
526,24.67,269.63
527,9.27,259.52
529,13.88,254.42
532,43.97,383.04
534,9.41,365.56
536,2.26,381.23
538,17.67,168.84
544,49.44,399.40
545,19.95,290.47
546,25.11,193.05
549,1.25,149.07
551,43.71,337.56
553,38.32,365.44
554,13.17,258.29
555,5.22,205.45
557,33.30,251.90
560,28.19,232.40
561,3.40,423.18
562,31.23,318.59
563,32.57,269.30
566,17.36,413.07
567,39.15,287.16
568,20.95,273.10
570,7.47,118.73
571,11.13,182.09
576,33.09,399.75
577,8.54,181.92
578,42.09,382.04
579,33.95,412.19
581,11.36,118.03
584,22.11,319.84
585,8.38,279.81
586,59.29,393.77
589,13.88,133.49
591,13.05,257.94
593,24.80,253.16
599,28.37,236.71
608,15.73,241.46
609,7.94,186.75
610,28.69,388.27
611,11.37,337.71
613,23.37,422.22
616,6.20,334.71
620,57.92,415.28
622,9.95,116.06
624,50.10,381.26
626,22.57,348.49
627,37.63,277.31
628,10.67,344.91
630,11.97,354.29
631,7.01,250.97
634,18.11,219.85
635,56.35,413.81
636,29.15,247.54
637,24.06,325.80
638,14.06,406.34
641,3.45,349.13
644,13.56,309.08
645,18.89,143.24
646,31.78,296.98
649,45.71,357.03
652,9.51,229.65
653,2.48,354.98
660,22.68,411.45
661,14.03,177.73
665,20.68,384.78
670,2.76,102.56
671,19.36,172.02
673,14.52,221.68
678,20.20,201.99
679,36.15,417.96
680,36.28,289.02
681,1.62,198.59
682,20.52,404.77
684,35.55,406.90
685,35.58,414.56
688,45.01,334.61
692,29.03,323.28
695,10.73,281.60
696,23.43,185.38
699,7.04,304.34
700,23.42,222.68
703,11.70,251.08
705,26.44,176.26
710,58.75,389.29
712,21.98,265.57
713,48.51,404.58
715,7.17,117.22
717,5.58,307.77
719,26.05,238.25
720,20.32,366.28
721,1.64,181.47
722,23.32,237.86
723,18.73,413.19
724,33.91,242.32
725,37.06,353.45
726,8.07,334.12
728,12.57,424.38
729,42.64,367.47
731,57.87,380.54
732,20.64,198.25
736,42.76,359.19
737,20.94,420.87
738,4.88,144.65
739,4.95,418.51
740,29.12,289.69
741,22.93,221.93
742,18.36,293.75
743,14.10,154.53
747,33.99,271.65
749,3.40,304.03
751,14.10,420.92
753,5.86,372.61
754,8.64,274.72
757,22.38,293.42
759,10.92,322.71
760,31.22,362.50
762,20.92,231.56
767,12.27,379.14
769,21.03,344.29
776,20.21,392.21
778,43.66,427.44
779,16.34,285.42
785,22.00,162.24
788,31.21,258.15
789,6.95,166.37
790,12.30,353.84
791,3.14,145.28
792,15.06,345.98
793,12.52,106.73
796,35.83,320.61
797,6.40,194.03
798,31.77,349.32
800,14.74,276.48
808,3.10,251.73
810,11.95,353.54
814,16.07,191.36
817,14.73,167.98
818,17.15,304.17
819,51.92,364.92
820,28.43,187.27
822,21.82,202.01
823,36.58,318.00
825,40.15,282.20
826,26.85,275.27
827,14.23,147.27
828,3.81,381.63
830,12.96,285.60
831,37.37,310.98
832,19.47,346.60
833,6.20,223.45
838,40.92,359.39
839,28.52,224.98
845,3.86,164.96
847,5.39,257.96
848,22.90,173.18
851,32.77,325.11
854,7.57,226.54
855,17.92,260.37
856,4.00,359.43
860,32.67,221.53
863,6.45,267.63
868,33.19,410.97
869,53.98,398.31
870,39.30,362.58
871,17.11,377.23
873,23.61,377.32
879,30.69,298.16
880,18.04,178.70
883,28.07,336.80
884,19.72,369.83
885,24.36,357.21
891,29.70,314.71
893,39.30,414.51
895,47.62,317.95
896,28.52,352.06
897,24.48,167.01
900,46.05,345.54
901,23.46,402.39
902,2.82,370.29
903,11.78,390.98
904,28.31,384.72
907,23.18,349.62
908,35.41,342.11
912,18.33,242.88
913,2.24,285.01
914,14.48,219.10
918,12.54,346.44
920,18.68,285.54
922,38.92,360.32
924,16.29,213.34
925,27.60,254.01
929,19.11,293.83
930,43.47,339.38
931,11.20,368.96
933,14.71,241.20
936,23.39,402.65
942,37.60,250.72
945,16.94,122.20
948,9.86,371.29
949,15.23,378.68
950,39.98,294.62
952,43.25,282.71
953,15.70,421.56
954,15.05,279.68
955,35.95,243.36
956,20.06,279.49
958,33.78,352.09
959,10.71,343.72
960,12.00,301.53
962,28.15,318.00
963,4.14,204.69
964,15.48,217.40
966,12.60,268.72
967,15.02,138.66
970,13.31,177.53
971,10.48,132.97
972,22.70,279.37
974,1.93,192.79
979,58.85,405.71
980,42.49,278.82
984,30.06,272.77
985,23.37,413.69
988,22.44,280.69
990,3.05,122.02
991,29.45,387.03
996,3.99,150.85
998,25.81,176.08
1000,12.46,264.53
总价值,136726.40
